Vocabulary-Kanji,Vocabulary-Furigana,Vocabulary-Kana,Vocabulary-English,Vocabulary-Pos,Expression,Reading,Sentence-Kana,Sentence-English,Sentence-Clozed
それ,それ,それ,"that, that one",Pronoun,<b>それ</b>はとってもいい話だ。,<b>それ</b>はとってもいい 話[はなし]だ。,<b>それ</b> は とっても いい はなし だ,That's a really nice story.,<b>（　）</b>はとってもいい 話[はなし]だ。
一つ,一[ひと]つ,ひとつ,one (thing),Noun,それを<b>一つ</b>ください。,それを<b> 一[ひと]つ</b>ください。,それ を <b>ひとつ</b> ください,Please give me one of those.,それを<b>（　）</b>ください。
一,一[いち],いち,one,Noun,<b>一</b>から始めましょう。,<b> 一[いち]</b>から 始[はじ]めましょう。,<b>いち</b> から はじめましょう,Let's start from the beginning.,<b>（　）</b>から 始[はじ]めましょう。
二,二[に],に,two,Noun,その人には<b>二</b>回会った。,その 人[ひと]には<b> 二[に]</b> 回会[かい あ]った。,その ひと に は <b>に</b> かい あった,I met that person twice.,その 人[ひと]には<b>（　）</b> 回会[かい あ]った。
二つ,二[ふた]つ,ふたつ,two (things),Noun,ソフトクリームを<b>二つ</b>ください。,ソフトクリームを<b> 二[ふた]つ</b>ください。,そふとくりーむ を <b>ふたつ</b> ください,Please give me two ice cream cones.,ソフトクリームを<b>（　）</b>ください。
三,三[さん],さん,three,Noun,彼女は<b>三</b>人の子供の母親だ。,彼女[かのじょ]は<b> 三[さん]</b> 人[にん]の 子供[こども]の 母親[ははおや]だ。,かのじょ は <b>さん</b>にん の こども の ははおや だ,She's the mother of three children.,彼女[かのじょ]は<b>（　）</b> 人[にん]の 子供[こども]の 母親[ははおや]だ。
三つ,三[みっ]つ,みっつ,three (things),Noun,コップを<b>三つ</b>買いました。,コップを<b> 三[みっ]つ</b> 買[か]いました。,こっぷ を <b>みっつ</b> かいました,I bought three glasses.,コップを<b>（　）</b> 買[か]いました。
四つ,四[よっ]つ,よっつ,four (things),Noun,私は腕時計を<b>四つ</b>持っています。,私[わたし]は 腕時計[うでどけい]を<b> 四[よっ]つ</b> 持[も]っています。,わたし は うでどけい を <b>よっつ</b> もって います,I have four wristwatches.,私[わたし]は 腕時計[うでどけい]を<b>（　）</b> 持[も]っています。
四,四[し],し,four,Noun,<b>四</b>月に大学に入学しました。,<b> 四[し]</b> 月[がつ]に 大学[だいがく]に 入学[にゅうがく]しました。,<b>し</b>がつ に だいがく に にゅうがく しました,I entered my university in April.,<b>（　）</b> 月[がつ]に 大学[だいがく]に 入学[にゅうがく]しました。
これ,これ,これ,"this, this one",Noun,<b>これ</b>をください。,<b>これ</b>をください。,<b>これ</b>をください。,I'll have this please.,<b>（　）</b>をください。
四,四[よん],よん,four,Noun,ハワイは<b>四</b>回目です。,ハワイは<b> 四[よん]</b> 回目[かいめ]です。,はわい は <b>よん</b>かいめ です,This is my fourth trip to Hawaii.,ハワイは<b>（　）</b> 回目[かいめ]です。
五つ,五[いつ]つ,いつつ,five (things),Noun,桃を<b>五つ</b>ください。,桃[もも]を<b> 五[いつ]つ</b>ください。,もも を <b>いつつ</b> ください,"I'd like five peaches, please.",桃[もも]を<b>（　）</b>ください。
五,五[ご],ご,five,Noun,<b>五</b>人で旅行に行きました。,<b> 五[ご]</b> 人[にん]で 旅行[りょこう]に 行[い]きました。,<b>ご</b>にん で りょこう に いきました,Five of us went on a trip.,<b>（　）</b> 人[にん]で 旅行[りょこう]に 行[い]きました。
六つ,六[むっ]つ,むっつ,six (things),Noun,息子は<b>六つ</b>になりました。,息子[むすこ]は<b> 六[むっ]つ</b>になりました。,むすこ は <b>むっつ</b> に なりました,My son turned six.,息子[むすこ]は<b>（　）</b>になりました。
六,六[ろく],ろく,six,Noun,彼には子供が<b>六</b>人います。,彼[かれ]には 子供[こども]が<b> 六[ろく]</b> 人[にん]います。,かれ に は こども が <b>ろく</b>にん います,He has six children.,彼[かれ]には 子供[こども]が<b>（　）</b> 人[にん]います。
